f(x), ybar, y,TP,FP,TN,FN,cumTP,cumFP,cumTN,cumFN,P,R,
51.1181720626,1,1,TRUE,0,0,0,1,0,0,0,1,2.37970586835467E-05,42022
51.1181720626,1,1,TRUE,0,0,0,2,0,0,0,1,4.75941173670934E-05,
50.0315936167,1,1,TRUE,0,0,0,3,0,0,0,1,7.13911760506401E-05,
48.9320321022,1,1,TRUE,0,0,0,4,0,0,0,1,9.51882347341869E-05,
45.2127735815,1,1,TRUE,0,0,0,5,0,0,0,1,0.0001189853,
44.8182933103,1,1,TRUE,0,0,0,6,0,0,0,1,0.0001427824,
42.564302522,1,1,TRUE,0,0,0,7,0,0,0,1,0.0001665794,
42.4793097834,1,1,TRUE,0,0,0,8,0,0,0,1,0.0001903765,
42.146035748,1,1,TRUE,0,0,0,9,0,0,0,1,0.0002141735,
41.1415347389,1,1,TRUE,0,0,0,10,0,0,0,1,0.0002379706,
41.0018143355,1,1,TRUE,0,0,0,11,0,0,0,1,0.0002617676,
40.1947245615,1,1,TRUE,0,0,0,12,0,0,0,1,0.0002855647,
39.6621129601,1,1,TRUE,0,0,0,13,0,0,0,1,0.0003093618,
39.4035848158,1,1,TRUE,0,0,0,14,0,0,0,1,0.0003331588,
39.3676966394,1,1,TRUE,0,0,0,15,0,0,0,1,0.0003569559,
39.147847798,1,1,TRUE,0,0,0,16,0,0,0,1,0.0003807529,
39.1328759951,1,1,TRUE,0,0,0,17,0,0,0,1,0.00040455,
38.9753353444,1,1,TRUE,0,0,0,18,0,0,0,1,0.0004283471,
38.9315003749,1,1,TRUE,0,0,0,19,0,0,0,1,0.0004521441,
38.1126230077,1,1,TRUE,0,0,0,20,0,0,0,1,0.0004759412,
37.9959882482,1,1,TRUE,0,0,0,21,0,0,0,1,0.0004997382,
37.6101905751,1,1,TRUE,0,0,0,22,0,0,0,1,0.0005235353,
37.1309027347,1,1,TRUE,0,0,0,23,0,0,0,1,0.0005473323,
37.1309027347,1,1,TRUE,0,0,0,24,0,0,0,1,0.0005711294,
36.4143156067,1,1,TRUE,0,0,0,25,0,0,0,1,0.0005949265,
36.369664672,1,1,TRUE,0,0,0,26,0,0,0,1,0.0006187235,
36.369664672,1,1,TRUE,0,0,0,27,0,0,0,1,0.0006425206,
36.1959910057,1,1,TRUE,0,0,0,28,0,0,0,1,0.0006663176,
35.7152184645,1,1,TRUE,0,0,0,29,0,0,0,1,0.0006901147,
35.4873935911,1,1,TRUE,0,0,0,30,0,0,0,1,0.0007139118,
34.8700702854,1,1,TRUE,0,0,0,31,0,0,0,1,0.0007377088,
34.8700702854,1,1,TRUE,0,0,0,32,0,0,0,1,0.0007615059,
34.5877626737,1,1,TRUE,0,0,0,33,0,0,0,1,0.0007853029,
34.358707081,1,1,TRUE,0,0,0,34,0,0,0,1,0.0008091,
34.252306962,1,1,TRUE,0,0,0,35,0,0,0,1,0.0008328971,
34.0780479994,1,1,TRUE,0,0,0,36,0,0,0,1,0.0008566941,
33.9404036104,1,1,TRUE,0,0,0,37,0,0,0,1,0.0008804912,
33.6785268355,1,1,TRUE,0,0,0,38,0,0,0,1,0.0009042882,
33.6279078528,1,1,TRUE,0,0,0,39,0,0,0,1,0.0009280853,
33.6279078528,1,1,TRUE,0,0,0,40,0,0,0,1,0.0009518823,
33.4791471678,1,1,TRUE,0,0,0,41,0,0,0,1,0.0009756794,
33.3881508477,1,1,TRUE,0,0,0,42,0,0,0,1,0.0009994765,
33.3874654134,1,1,TRUE,0,0,0,43,0,0,0,1,0.0010232735,
33.1859219138,1,1,TRUE,0,0,0,44,0,0,0,1,0.0010470706,
32.97476308,1,1,TRUE,0,0,0,45,0,0,0,1,0.0010708676,
32.9086972923,1,1,TRUE,0,0,0,46,0,0,0,1,0.0010946647,
32.8872792942,1,1,TRUE,0,0,0,47,0,0,0,1,0.0011184618,
32.7675456959,1,1,TRUE,0,0,0,48,0,0,0,1,0.0011422588,
32.4488203749,1,1,TRUE,0,0,0,49,0,0,0,1,0.0011660559,
32.309381397,1,1,TRUE,0,0,0,50,0,0,0,1,0.0011898529,
32.0788347427,1,1,TRUE,0,0,0,51,0,0,0,1,0.00121365,
31.8561714318,1,1,TRUE,0,0,0,52,0,0,0,1,0.0012374471,
31.7929232334,1,1,TRUE,0,0,0,53,0,0,0,1,0.0012612441,
