f(x), ybar, y,TP,FP,TN,FN,cumTP,cumFP,cumTN,cumFN,P,R,
51.6662112642,1,1,TRUE,0,0,0,1,0,0,0,1,2.37970586835467E-05,42022
50.931852786,1,1,TRUE,0,0,0,2,0,0,0,1,4.75941173670934E-05,
46.3259146099,1,1,TRUE,0,0,0,3,0,0,0,1,7.13911760506401E-05,
44.5053321971,1,1,TRUE,0,0,0,4,0,0,0,1,9.51882347341869E-05,
41.4080575769,1,1,TRUE,0,0,0,5,0,0,0,1,0.0001189853,
40.7203880052,1,1,TRUE,0,0,0,6,0,0,0,1,0.0001427824,
40.7203880052,1,1,TRUE,0,0,0,7,0,0,0,1,0.0001665794,
40.2699041538,1,1,TRUE,0,0,0,8,0,0,0,1,0.0001903765,
40.2699041538,1,1,TRUE,0,0,0,9,0,0,0,1,0.0002141735,
39.6167661246,1,1,TRUE,0,0,0,10,0,0,0,1,0.0002379706,
39.320060698,1,1,TRUE,0,0,0,11,0,0,0,1,0.0002617676,
38.963192904,1,1,TRUE,0,0,0,12,0,0,0,1,0.0002855647,
38.7139767338,1,1,TRUE,0,0,0,13,0,0,0,1,0.0003093618,
38.5873858631,1,1,TRUE,0,0,0,14,0,0,0,1,0.0003331588,
37.652112484,1,1,TRUE,0,0,0,15,0,0,0,1,0.0003569559,
37.652112484,1,1,TRUE,0,0,0,16,0,0,0,1,0.0003807529,
36.5802479472,1,1,TRUE,0,0,0,17,0,0,0,1,0.00040455,
36.4200804923,1,1,TRUE,0,0,0,18,0,0,0,1,0.0004283471,
36.0752873146,1,1,TRUE,0,0,0,19,0,0,0,1,0.0004521441,
35.9258455815,1,1,TRUE,0,0,0,20,0,0,0,1,0.0004759412,
35.8283443335,1,1,TRUE,0,0,0,21,0,0,0,1,0.0004997382,
35.7335307614,1,1,TRUE,0,0,0,22,0,0,0,1,0.0005235353,
35.6664411925,1,1,TRUE,0,0,0,23,0,0,0,1,0.0005473323,
35.6111571219,1,1,TRUE,0,0,0,24,0,0,0,1,0.0005711294,
35.4807934487,1,1,TRUE,0,0,0,25,0,0,0,1,0.0005949265,
34.5779408232,1,1,TRUE,0,0,0,26,0,0,0,1,0.0006187235,
34.5159669748,1,1,TRUE,0,0,0,27,0,0,0,1,0.0006425206,
34.5159669748,1,1,TRUE,0,0,0,28,0,0,0,1,0.0006663176,
34.3625277155,1,1,TRUE,0,0,0,29,0,0,0,1,0.0006901147,
34.3233428656,1,1,TRUE,0,0,0,30,0,0,0,1,0.0007139118,
33.8690961584,1,1,TRUE,0,0,0,31,0,0,0,1,0.0007377088,
33.7055954416,1,1,TRUE,0,0,0,32,0,0,0,1,0.0007615059,
32.8709934644,1,1,TRUE,0,0,0,33,0,0,0,1,0.0007853029,
32.7529317454,1,1,TRUE,0,0,0,34,0,0,0,1,0.0008091,
