f(x), ybar, y,TP,FP,TN,FN,cumTP,cumFP,cumTN,cumFN,P,R,
59.9802745134,1,1,TRUE,0,0,0,1,0,0,0,1,2.37970586835467E-05,42022
53.6874707786,1,1,TRUE,0,0,0,2,0,0,0,1,4.75941173670934E-05,
49.877146928,1,1,TRUE,0,0,0,3,0,0,0,1,7.13911760506401E-05,
45.0951066911,1,1,TRUE,0,0,0,4,0,0,0,1,9.51882347341869E-05,
45.0951066911,1,1,TRUE,0,0,0,5,0,0,0,1,0.0001189853,
44.8796176692,1,1,TRUE,0,0,0,6,0,0,0,1,0.0001427824,
44.5928740602,1,1,TRUE,0,0,0,7,0,0,0,1,0.0001665794,
43.1923672344,1,1,TRUE,0,0,0,8,0,0,0,1,0.0001903765,
42.8800626709,1,1,TRUE,0,0,0,9,0,0,0,1,0.0002141735,
41.9517386791,1,1,TRUE,0,0,0,10,0,0,0,1,0.0002379706,
41.4046888811,1,1,TRUE,0,0,0,11,0,0,0,1,0.0002617676,
41.3680544676,1,1,TRUE,0,0,0,12,0,0,0,1,0.0002855647,
41.3583005018,1,1,TRUE,0,0,0,13,0,0,0,1,0.0003093618,
41.2010938895,1,1,TRUE,0,0,0,14,0,0,0,1,0.0003331588,
41.0838869678,1,1,TRUE,0,0,0,15,0,0,0,1,0.0003569559,
41.0104062617,1,1,TRUE,0,0,0,16,0,0,0,1,0.0003807529,
40.5513138858,1,1,TRUE,0,0,0,17,0,0,0,1,0.00040455,
40.2173299179,1,1,TRUE,0,0,0,18,0,0,0,1,0.0004283471,
40.2173299179,1,1,TRUE,0,0,0,19,0,0,0,1,0.0004521441,
39.8027500866,1,1,TRUE,0,0,0,20,0,0,0,1,0.0004759412,
39.6427173858,1,1,TRUE,0,0,0,21,0,0,0,1,0.0004997382,
39.3052491693,1,1,TRUE,0,0,0,22,0,0,0,1,0.0005235353,
39.3052491693,1,1,TRUE,0,0,0,23,0,0,0,1,0.0005473323,
38.5434310248,1,1,TRUE,0,0,0,24,0,0,0,1,0.0005711294,
38.4779570182,1,1,TRUE,0,0,0,25,0,0,0,1,0.0005949265,
36.864013463,1,1,TRUE,0,0,0,26,0,0,0,1,0.0006187235,
36.3138647641,1,1,TRUE,0,0,0,27,0,0,0,1,0.0006425206,
36.1743734408,1,1,TRUE,0,0,0,28,0,0,0,1,0.0006663176,
35.8728516904,1,1,TRUE,0,0,0,29,0,0,0,1,0.0006901147,
35.7259402553,1,1,TRUE,0,0,0,30,0,0,0,1,0.0007139118,
35.5854376429,1,1,TRUE,0,0,0,31,0,0,0,1,0.0007377088,
35.566129981,1,1,TRUE,0,0,0,32,0,0,0,1,0.0007615059,
35.4055243053,1,1,TRUE,0,0,0,33,0,0,0,1,0.0007853029,
35.2426057894,1,1,TRUE,0,0,0,34,0,0,0,1,0.0008091,
35.0424992325,1,1,TRUE,0,0,0,35,0,0,0,1,0.0008328971,
34.8997389119,1,1,TRUE,0,0,0,36,0,0,0,1,0.0008566941,
34.8682529283,1,1,TRUE,0,0,0,37,0,0,0,1,0.0008804912,
34.8610719849,1,1,TRUE,0,0,0,38,0,0,0,1,0.0009042882,
34.6785864585,1,1,TRUE,0,0,0,39,0,0,0,1,0.0009280853,
34.653297796,1,1,TRUE,0,0,0,40,0,0,0,1,0.0009518823,
34.5903217138,1,1,TRUE,0,0,0,41,0,0,0,1,0.0009756794,
34.4760544731,1,1,TRUE,0,0,0,42,0,0,0,1,0.0009994765,
34.409418535,1,1,TRUE,0,0,0,43,0,0,0,1,0.0010232735,
34.409418535,1,1,TRUE,0,0,0,44,0,0,0,1,0.0010470706,
34.2177376217,1,1,TRUE,0,0,0,45,0,0,0,1,0.0010708676,
34.1473057809,1,1,TRUE,0,0,0,46,0,0,0,1,0.0010946647,
34.1301776286,1,1,TRUE,0,0,0,47,0,0,0,1,0.0011184618,
34.0125817795,1,1,TRUE,0,0,0,48,0,0,0,1,0.0011422588,
33.9341723926,1,1,TRUE,0,0,0,49,0,0,0,1,0.0011660559,
33.682554857,1,1,TRUE,0,0,0,50,0,0,0,1,0.0011898529,
