f(x), ybar, y
65.81463854483539,1,1
54.714397649572874,1,1
54.1855060558407,1,1
49.897109296323535,1,1
48.64695767270942,1,1
47.95110630314489,1,1
47.82945036092646,1,1
47.82945036092646,1,1
45.672130583019786,1,1
45.367548940391806,1,1
45.30907461483049,1,1
45.29775325136148,1,1
45.16620834913812,1,1
44.391558839735545,1,1
42.95934507920398,1,1
42.75792733973907,1,1
42.24014734849019,1,1
41.850238094375186,1,1
41.81283828995742,1,1
41.67764413170569,1,1
41.67764413170569,1,1
41.664650847654876,1,1
40.924524181790254,1,1
40.75039441941974,1,1
40.15278999649051,1,1
39.27626226833557,1,1
39.15369892509432,1,1
39.05241643693136,1,1
39.034161008639636,1,1
39.034161008639636,1,1
38.63127423117234,1,1
38.621240920449324,1,1
38.35168525015641,1,1
38.111846146343815,1,1
38.00009063016198,1,1
37.86476569936102,1,1
37.77796592016934,1,1
37.703256882355134,1,1
37.6758953753721,1,1
37.481859046633375,1,1
37.12741954319509,1,1
37.01142286694518,1,1
36.92293845732756,1,1
36.79447234716111,1,1
36.76277287177816,1,1
36.59525974211417,1,1
36.28618051523997,1,1
36.02947693423834,1,1
35.88191421328086,1,1
35.78172866146601,1,1
35.616774731729315,1,1
35.600396405017165,1,1
35.58229116606679,1,1
35.54683563903409,1,1
35.482156220136034,1,1
35.42833743925603,1,1
35.37339539608988,1,1
34.93733698754576,1,1
34.892409393281966,1,1
34.86006489234446,1,1
34.76148723793859,1,1
34.7193668099046,1,1
34.58889849316717,1,1
34.58876879701258,1,1
34.53269914415599,1,1
34.53269914415599,1,1
34.32141309757719,1,1
34.27856116480298,1,1
33.89429141012973,1,1
33.744992152776234,1,1
33.68188069036769,1,1
33.147708004124766,1,1
32.959924777151365,1,1
32.84451366413925,1,1
32.84092560692376,1,1
32.73038488517114,1,1
32.44167484756007,1,1
32.351242807926525,1,1
32.2438979795831,1,1
32.14726027584241,1,1
32.14395627264043,1,1
32.073678694225734,1,1
31.99457022779667,1,1
31.960160783140527,1,1
31.954711073373325,1,1
31.650015071108072,1,1
31.576320709816716,1,1
31.36091982877597,1,1
31.33781494234994,1,1
31.313721452446416,1,1
31.116809372033227,1,1
31.081593122009497,1,1
31.079400235484997,1,1
31.05871553501104,1,1
31.012692830122614,1,1
30.98857095785888,1,1
30.93446754953694,1,1
30.92555643878709,1,1
30.817172304343913,1,1
30.784063248337933,1,1
30.577907818869104,1,1
30.508650985596706,1,1
30.48882612544303,1,1
30.48882612544303,1,1
30.455902631724907,1,1
30.25460830381978,1,1
30.180742249771416,1,1
30.059628092905964,1,1
30.051375305860493,1,1
30.011860745912546,1,1
30.010498306893687,1,1
29.896714014929124,1,1
29.85010161884571,1,1
29.84020571868621,1,1
29.795062156218695,1,1
29.730331722705706,1,1
29.687696589392665,1,1
29.65414436631895,1,1
29.6446809345224,1,1
29.6048585314817,1,1
29.518105029759216,1,1
29.402249457188802,1,1
29.39512371193823,1,1
29.309045122900276,1,1
29.27286212411993,1,1
29.254828598594887,1,1
29.136795782077236,1,1
29.122380855998784,1,1
29.055119528601207,1,1
28.996133069313853,1,1
28.97108122936808,1,1
28.90789190394852,1,1
28.86140975221505,1,1
28.803466058763412,1,1
28.760782859217787,1,1
28.752178479764783,1,1
28.681612105381877,1,1
28.663835067123916,1,1
28.64756160007188,1,1
28.569080611681887,1,1
28.473907862475645,1,1
28.45197213725708,1,1
28.44889439824826,1,1
28.446740375182824,1,1
28.440097845906077,1,1
28.322520695823584,1,1
28.322520695823584,1,1
28.295339186821426,1,1
28.276070499492228,1,1
28.276070499492228,1,1
28.212284609872523,1,1
28.160733256207088,1,1
28.12917158602743,1,1
28.116835172590182,1,1
28.046163983157047,1,1
28.04167642042085,1,1
27.974385850399347,1,1
27.946340705806964,1,1
27.918388279018405,1,1
27.90285934113784,1,1
27.899655207300093,1,1
27.89131852469043,1,1
27.88447350338416,1,1
27.871655889202668,1,1
27.869721882077283,1,1
27.849683422348388,1,1
27.849683422348388,1,1
27.816643392869015,1,1
27.757471048208927,1,1
27.70179222286222,1,1
27.679306504422257,1,1
27.644585117174476,1,1
27.620780132175728,1,1
27.597078264349793,1,1
27.583960108156408,1,1
27.543337923022467,1,1
27.503444447435,1,1
27.45671571777384,1,1
27.387395418133345,1,1
27.377212462323875,1,1
27.368182901288503,1,1
27.368182901288503,1,1
