f(x), ybar, y,TP,FP,TN,FN,cumTP,cumFP,cumTN,cumFN,P,R,
78.6154762464,1,1,TRUE,0,0,0,1,0,0,0,1,2.37970586835467E-05,42022
78.6154762464,1,1,TRUE,0,0,0,2,0,0,0,1,4.75941173670934E-05,
67.8238771291,1,1,TRUE,0,0,0,3,0,0,0,1,7.13911760506401E-05,
67.7549185673,1,1,TRUE,0,0,0,4,0,0,0,1,9.51882347341869E-05,
65.7196024365,1,1,TRUE,0,0,0,5,0,0,0,1,0.0001189853,
65.0693489203,1,1,TRUE,0,0,0,6,0,0,0,1,0.0001427824,
63.8309176596,1,1,TRUE,0,0,0,7,0,0,0,1,0.0001665794,
63.0260139399,1,1,TRUE,0,0,0,8,0,0,0,1,0.0001903765,
61.9203058305,1,1,TRUE,0,0,0,9,0,0,0,1,0.0002141735,
61.0527027217,1,1,TRUE,0,0,0,10,0,0,0,1,0.0002379706,
60.5093759511,1,1,TRUE,0,0,0,11,0,0,0,1,0.0002617676,
58.5013109927,1,1,TRUE,0,0,0,12,0,0,0,1,0.0002855647,
57.8097686859,1,1,TRUE,0,0,0,13,0,0,0,1,0.0003093618,
57.4223247172,1,1,TRUE,0,0,0,14,0,0,0,1,0.0003331588,
57.2407780721,1,1,TRUE,0,0,0,15,0,0,0,1,0.0003569559,
57.2260761218,1,1,TRUE,0,0,0,16,0,0,0,1,0.0003807529,
56.9665334011,1,1,TRUE,0,0,0,17,0,0,0,1,0.00040455,
56.7266188185,1,1,TRUE,0,0,0,18,0,0,0,1,0.0004283471,
56.5328422539,1,1,TRUE,0,0,0,19,0,0,0,1,0.0004521441,
56.4286824073,1,1,TRUE,0,0,0,20,0,0,0,1,0.0004759412,
56.3800383166,1,1,TRUE,0,0,0,21,0,0,0,1,0.0004997382,
56.2270244696,1,1,TRUE,0,0,0,22,0,0,0,1,0.0005235353,
56.1970480583,1,1,TRUE,0,0,0,23,0,0,0,1,0.0005473323,
56.0755501035,1,1,TRUE,0,0,0,24,0,0,0,1,0.0005711294,
55.4167116791,1,1,TRUE,0,0,0,25,0,0,0,1,0.0005949265,
55.124174393,1,1,TRUE,0,0,0,26,0,0,0,1,0.0006187235,
54.5081850483,1,1,TRUE,0,0,0,27,0,0,0,1,0.0006425206,
